Name,Description,Visibility,Date,Maturity_Level,Core_Features,Secondary_Features,Technical_Debt,Versioning,Maintenance
Sara-Gandelman/Hands-On-Quantum-Cryptography-Undergraduate-Experimentation-with-the-B92-Protocol,"This repository presents an educational emulation of the B92 Quantum Key Distribution protocol using pulsed lasers. It simplifies the setup for secure key exchange demonstrations, illustrating core quantum cryptography principles like eavesdropping detection and measurement disturbance in a lab-friendly environment.",public,2024-12-07T19:27:20Z,2,36,42,74,48,54
ssunduko/final-project-e91,Final Project for Harvard e91,public,2019-12-13T05:13:05Z,3,54,58,61,62,66
4df31/E91_tries,Simulaci√≥n del protocolo de transmisi√≥n cu√°ntica de clave E91,public,2024-04-23T23:18:20Z,1,18,26,87,34,42
iamneo-production/e91f6e51-4152-446b-afe4-3dd05c876e1b,https://sonarcloud.io/summary/overall?id=examly-test_e91f6e51-4152-446b-afe4-3dd05c876e1b,public,2023-07-18T05:23:09Z,2,36,42,74,48,54
ChattanoogaPublicLibrary/e911-scrape,Scraper for E911 Data,public,2018-03-11T03:46:54Z,2,36,42,74,48,54
craigtimmonswv/E911-Information,E911 Details,public,2023-11-09T17:57:43Z,1,18,26,87,34,42
Andyliang97/-E911-Localization-project,The E911 Localization project aims to improve smartphone location tracking in the Enhanced 911 system by providing accurate indoor location information and path in a quasi real-time application. ‚Äã,public,2024-12-07T08:33:43Z,2,36,42,74,48,54
Cheshta-Joshi/Quantum_Key_Distribution_Protocols,A basic simulation of E91 and B92 Quantum Key distribution protocols,public,2023-03-26T14:24:52Z,1,18,26,87,34,42
AlJohri/onondaga-e911,,public,2023-04-01T15:19:25Z,1,18,26,87,34,42
SatanicScripter/E91E4-krunker-css,New krunker css,public,2021-10-02T11:51:41Z,4,72,74,48,76,78
scriptvip/e912eff292e147be958ebc05c5f9f88f,,public,2024-10-01T07:40:18Z,4,72,74,48,76,78
UnofficialJuliaMirror/Hungarian.jl-e91730f6-4275-51fb-a7a0-7064cfbd3b39,"Last mirrored from https://github.com/Gnimuc/Hungarian.jl.git on 2019-11-18T22:31:43.429-05:00 by @UnofficialJuliaMirrorBot via Travis job 481.14 , triggered by Travis cron job on branch ""master""",public,2021-10-27T16:24:44Z,3,54,58,61,62,66
KUHLwasStolen/open-eye-drive-screen,Uses an old LCD from an Ender 3 (Pro) to display additional real-time information from KCAN on the dash of a BMW E92/E90/E91/E93,public,2025-05-01T14:45:20Z,1,18,26,87,34,42
Clockwork-Rat/BB84_Godot,"A Port of a game designed to teach the player about BB84 encryption, and some general concepts of Quantum Physics and Encryption.",public,2023-08-08T11:15:51Z,1,18,26,87,34,42
chenphys/qc_exp,BB84,public,2022-07-24T11:01:07Z,2,36,42,74,48,54
jKulrativid/BB84,Implementation on Bennett-Brassard 1984 Quantum Cryptography,public,2022-07-24T11:16:40Z,2,36,42,74,48,54
dragonpilee/bb84,BB84 protocol,public,2025-05-26T12:25:56Z,1,18,26,87,34,42
Burned65/BB84,,public,2022-07-24T11:07:32Z,2,36,42,74,48,54
vanbrandwijk/bb84,,public,2022-03-21T12:19:59Z,1,18,26,87,34,42
kibnakamoto/BB84,The first Quantum Key Derivation function. uses Symmetrical encryption algorithms such as AES,public,2023-01-31T20:15:47Z,4,72,74,48,76,78
Pritheesh/BB84,,public,2020-01-11T18:34:34Z,1,18,26,87,34,42
ssawarn/BB84-protocol-simulation,BB84 simulation using Qiksit,public,2023-12-13T05:03:18Z,2,36,42,74,48,54
jesperVB-dev/BB84-protocol,It is a python simulator that wil simulate how the BB84 protocol will behave when it is live.,public,2017-11-10T22:52:39Z,1,18,26,87,34,42
Bandar-F-Almutairi/BB84-chat,,public,2023-11-30T05:04:27Z,2,36,42,74,48,54
Rohit-Qu/Springer-book-chapter-code,BB84 protocol demonstration using Qiskit,public,2023-09-12T16:45:34Z,2,36,42,74,48,54
SAMeh-ZAGhloul/alice-bob-eve-Docker,BB84 alice-bob-eve-Docker,public,2024-12-22T12:07:05Z,1,18,26,87,34,42
rebekkaka/BB84-protocol,Simulation of the BB84-protocol,public,2024-05-07T02:26:34Z,4,72,74,48,76,78
iamrishabruh/BB84-DSL,"A domain‚Äëspecific language that replicates the PQC BB84 protocol, providing a streamlined syntax for quantum‚Äësafe communication simulations. Built with Python, C, and Fortran.",public,2025-04-10T06:00:57Z,3,54,58,61,62,66
parth-raymagya/BB84-Protocol,BB84 Protocol is Quantum Key Distribution Protocol. It is used in quantum cryptography. Implemented in python using qiskit.,public,2025-05-05T14:27:19Z,4,72,74,48,76,78
CS-Saud/BB84-chat,,public,2023-08-18T12:33:08Z,3,54,58,61,62,66
GinaMuuss/bb84_demonstrator,3D print files for a contraption that can be used to demonstrate how quantum key distribution works.,public,2025-05-12T08:42:59Z,2,36,42,74,48,54
PanDoreS/BB84-Python,Cryptologie Quantique,public,2019-01-31T07:00:35Z,4,72,74,48,76,78
garethsion/BB84Lab,Analysis code for the BB84 laboratory component of PHASGQ03 of the MRES in Quantum Technologies at UCL.,public,2019-01-31T07:00:02Z,1,18,26,87,34,42
ramonje5/BB84-raspberry,BB84 Quantum Key Distribution Protocol implemented on two Raspberry Pis using MPI,public,2025-05-07T18:28:55Z,1,18,26,87,34,42
illusory-thinker/BB84-Simulation,"This is a python program to simulate BB84.The discriptions are all in Chinese,though.",public,2022-07-29T10:28:54Z,1,18,26,87,34,42
SrAntonio25/TFG_Protocolo_BB84,Simulaciones del Protocolo BB84 para TFG,public,2025-05-04T18:30:31Z,1,18,26,87,34,42
ekenozlu/BB84Simulation,"This simulation was designed and developed by Eken √ñzl√º, Melisa √áevik and Elin Su ≈ûent√ºrk for the 2022-2023 academic year Capstone Project of Quantum Key Distribution in Bah√ße≈üehir University.",public,2025-05-07T17:54:02Z,1,18,26,87,34,42
SaraPhysics/BB84-Protocol-Simulation,,public,2024-03-07T02:05:43Z,1,18,26,87,34,42
YUNA-dBu/bb84-decoy-lab,,public,2024-06-20T08:57:42Z,3,54,58,61,62,66
WalterHenri/ImplBB84,interative implementation of bb84 for academic purposes,public,2025-04-13T00:04:38Z,1,18,26,87,34,42
rachitverma1030/BB84_python-implementation,,public,2024-09-08T03:57:09Z,1,18,26,87,34,42
aThorp96/undergraduate_thesis,Simulating the Quantum Key Exchange protocol BB84,public,2025-05-07T15:01:15Z,2,36,42,74,48,54
Kowalikov/Chat_App_OTP_BB84,"Simple chat app in django based on BB84 cryptography protocol for ""Quantum Cryptography"" course.",public,2022-10-03T01:31:50Z,1,18,26,87,34,42
Enguenye/BB84_QuantumKeyDistribution,,public,2025-03-05T15:33:20Z,3,54,58,61,62,66
Risav25Pokhrel/BB84-Quantum-Key-Distribution,Capstone Task for QxQ 23/24,"public, archived",2024-12-02T03:00:14Z,1,18,26,87,34,42
Quantum-Valencia/CryptoBB84,Codigo empleado en la demostraci√≥n del algoritmo BB84,public,2023-07-28T13:18:56Z,5,90,90,35,90,90
rneeraaj/-BB84-Quantum-Key-Distribution-Simulator,üîê BB84 Quantum Key Distribution Simulator this is my first project,public,2025-04-23T12:07:59Z,3,54,58,61,62,66
EleftheriosM/Finite-Size-BB84-Selection-Method,,public,2023-09-02T10:45:48Z,1,18,26,87,34,42
Broden-Connolly/Bink-Chat,End-to end encrypted messaging app with BB84 quantum computing encryption,public,2024-05-10T13:59:03Z,1,18,26,87,34,42
seangarn32/Quantum-Key-Encryption,Encrypting and decrypting an image as Alice and Bob using BB84 symmetric keys,public,2024-01-23T21:32:01Z,3,54,58,61,62,66
rubenandrebarreiro/3d-object-modelling-bb84-quantum-key-distribution-protocol-scheme,,public,2024-08-12T19:57:35Z,3,54,58,61,62,66
owaisishtiaqsiddiqui/Qubit-by-Qubit-Capstone-Project,The following repository contains implementation of BB84 protocol from simplest to all cases.,public,2025-02-19T07:04:41Z,3,54,58,61,62,66
v-bezganovic/quantum-cryptography,"The model of the quantum key exchange protocol BB84, implemented with high-level programming language Silq",public,2023-08-04T09:38:28Z,3,54,58,61,62,66
aThorp96/BBChat,"End to end encrypted chat program that runs using, and helps visualize, the BB84 quantum key distribution protocol",public,2025-05-07T18:17:13Z,1,18,26,87,34,42
Abdullah-ElPsyKo/Quantum-Computing-Simulations,"The project features a quantum teleportation circuit, BB84 quantum key distribution, and a quantum entanglement bell state circuit.",public,2025-02-04T10:08:39Z,1,18,26,87,34,42
ParleSec/QuantumFieldKit,"High-fidelity quantum computing simulation platform for exploring BB84, Shor Code, Grover's Algorithm and other quantum protocols and algorithms",public,2025-05-24T13:36:45Z,1,18,26,87,34,42
artem-phys/russian-quantum-key-distribution,Quantum key distribution project with elementary BB84 realization. This project is the part of the Russian Quantum Tecnologies Roadmap,public,2023-07-06T23:30:36Z,3,54,58,61,62,66
Slygriyrsk/quantum-communication-simulator,This project features a Quantum Simulator upto 10 nodes which will show the internal working of how simulator works,public,2025-04-09T08:39:37Z,2,36,42,74,48,54
saisharan221/QuantumCryptoSim,"(Work in progress) QuantumCryptoSim is a Python-based simulation toolkit that demonstrates fundamental quantum cryptographic protocols, like the BB84 quantum key distribution protocol, using Qiskit and quantum simulators.",public,2025-05-07T18:31:34Z,1,18,26,87,34,42
calebluh/QuantumCryptographyResearch,"Notebook for Quantum Cryptography answering the question ""How does increasing depolarizing noise in a quantum channel affect the Quantum Bit Error Rate (QBER) and the length of the secure key generated by the BB84 protocol when simulated using Qiskit?""",public,2025-05-19T06:18:02Z,1,18,26,87,34,42
l0re/tiny-staq,QKD post-processing protocol stack (QKD stack) written in Python,public,2020-09-11T00:56:08Z,3,54,58,61,62,66
GuillermoFidalgo/QKDP,,public,2024-06-26T19:48:24Z,3,54,58,61,62,66
s-fifteen-instruments/QKDServer,"Software stack for QKD, built on top of qcrypto.",public,2025-04-09T03:38:57Z,2,36,42,74,48,54
hwaipy/MDI-QKD,,public,2019-05-11T16:31:21Z,3,54,58,61,62,66
QuantumUPB/QKD-Infra-GetKey,,public,2025-05-15T18:03:19Z,2,36,42,74,48,54
mordeng/meta-qkd,"meta-qkd, yocto layer for AIT QKD software",public,2016-08-17T12:50:36Z,2,36,42,74,48,54
Nomeluka/QKD,Data processing in QKD system,public,2024-09-22T08:30:16Z,2,36,42,74,48,54
qkd888/qkd888,My Personal Repository,public,2023-02-21T17:41:45Z,1,18,26,87,34,42
Jainam-P/QKDwithAES,,public,2024-10-02T14:55:03Z,1,18,26,87,34,42
VagnerBomJesus/QKDBB84,Simulação QKD BB84 com o Q#,public,2025-06-02T10:55:47Z,1,18,26,87,34,42
akota64/qkdAnalysis,,public,2024-09-20T11:42:51Z,2,36,42,74,48,54
openqbit-diy/QKD,Quantum Key Distribution,public,2022-12-12T17:52:51Z,1,18,26,87,34,42
BridgeofElden/qkd,quantum key distribution,public,2024-09-22T08:22:05Z,2,36,42,74,48,54
QuantumCheap/QKD,Things related to Quantum Key Distribution,public,2023-11-04T15:20:30Z,4,72,74,48,76,78
krish0309/QKDEncryptioninPython,"This simulates the Quantum Key Distribution (QKD) process using the BB84 protocol to generate a shared key between Alice and Bob. The shared key is then used for Fernet encryption and decryption, ensuring secure communication. Libraries and Technologies Used: Python, Cirq, Fernet encryption library, hashes, and PBKDF2HMAC",public,2024-09-22T08:24:17Z,1,18,26,87,34,42
DeliciousRocks/QKD,,public,2019-04-21T14:18:54Z,2,36,42,74,48,54
lpceronm/QKD,Quantum Key Distribution,public,2020-12-08T11:51:19Z,3,54,58,61,62,66
Andrea-D-Urbano/QKD,Simulate QKD protocols.,public,2025-02-14T10:52:42Z,1,18,26,87,34,42
Emmoter/qkd,QKD with protocol BB84,public,2024-09-20T11:45:35Z,1,18,26,87,34,42
ipender/QkdSwitcherControl,,public,2023-08-02T06:54:20Z,1,18,26,87,34,42
lcrowder/QKD,"Python scripts for simulating quantum key distribution protocols (primarily BB84) and attacks used against it (intercept and resend, photon-number-splitting, Slutsky-Brandt attack).",public,2024-09-22T08:30:32Z,1,18,26,87,34,42
ncanavan1/QKD_PP,QKD Post Processing,public,2024-10-13T11:03:26Z,4,72,74,48,76,78
mammaspappa/cascade,Cascade protocol for QKD,public,2024-09-09T08:09:27Z,3,54,58,61,62,66
vivi235711/QKD,,public,2024-10-10T10:00:59Z,2,36,42,74,48,54
RyanTorok/qkd,Quantum Computing FRI Stream Project 1,public,2019-04-21T14:07:07Z,3,54,58,61,62,66
Adi12543/QKd,,public,2024-07-22T14:51:16Z,3,54,58,61,62,66
qkd888/QKD888-Admin-App,QKD888 Admin App,public,2025-05-22T08:48:58Z,1,18,26,87,34,42
vtjong/qkd,,public,2022-01-30T18:07:40Z,3,54,58,61,62,66
SyedT2/Capstone-Project-QxQ,Encryption Decryption using QKD,public,2024-09-22T08:37:06Z,2,36,42,74,48,54
qursa-uc3m/qkd-kem-bench,Benchmarking QKD-KEM Provider,public,2025-03-09T15:54:14Z,3,54,58,61,62,66
YugantM/LDPC,LDPC coding for QKD,public,2024-09-22T08:36:01Z,3,54,58,61,62,66
JunanLin/EasyQKD,Repository for candy QKD paper,public,2019-05-12T16:10:49Z,1,18,26,87,34,42
JarryChou/etsi-qkd-api,Implementation of ETSI QKD API.,public,2021-12-14T12:26:02Z,1,18,26,87,34,42
kemplaw/qkdemo,micro frontend demo with Vue and React,public,2023-05-19T13:51:56Z,1,18,26,87,34,42
ruxir-ig/qkd-sim-py,"A qkd simulator, built in python, that uses IBM Quiskit Library to simulate QKD",public,2025-04-08T03:53:55Z,2,36,42,74,48,54
cnRobinHood/QKDRouting,,public,2024-03-24T20:01:37Z,3,54,58,61,62,66
jacoboqc/QKDDelft,Quantum Communication and Cryptography - Programming project,public,2020-09-11T01:32:55Z,3,54,58,61,62,66
qkdn/qkdn,Config files for my GitHub profile.,public,2022-02-26T03:33:45Z,1,18,26,87,34,42
shenzuzhenwang/QKDSim,,public,2024-12-30T13:26:38Z,2,36,42,74,48,54
valleyofblackpanther/QKDSimulator,"This project is a simple simulation of a quantum key distribution system using Qiskit, a quantum computing framework. The simulation demonstrates the generation of a shared secret key between two parties, Alice and Bob, using quantum principles.",public,2024-09-22T09:00:55Z,2,36,42,74,48,54
cc258/qkdly,乾坤,public,2024-10-09T16:20:53Z,1,18,26,87,34,42
Sheng254/QKDSimulator,"The Python script simulates secure key exchange through quantum cryptography, featuring a GUI for message input, encryption with QKD techniques, and visualising the encrypted and decrypted outcomes.",public,2024-06-07T12:53:17Z,1,18,26,87,34,42
hdg7/QKDNetworks,An algorithm to select repeaters for QKD Networks,public,2025-03-13T17:22:58Z,1,18,26,87,34,42
MaxiLMV/QKD_Thesis,,public,2025-05-29T08:38:29Z,4,72,74,48,76,78
Ali-Makky/QKD_BB84,Simulator for BB84 QKD protocol.,public,2024-12-24T14:04:11Z,1,18,26,87,34,42
ery010/qkd_sim,,public,2022-06-11T14:30:14Z,2,36,42,74,48,54
Mathwizard1/QKD_learning,Notebooks for understanding the QKD protocols,public,2025-03-03T22:00:01Z,3,54,58,61,62,66
CubeStar1/QKD-sim,Simulation of Quantum Key Distribution (QKD) using Qiskit and Streamlit. Uses Bell states and quantum circuits to generate symmetric keys through quantum computations.,public,2024-09-09T07:27:45Z,1,18,26,87,34,42
adomasbaliuka/formal-qkd,Formal proofs about quantum key distribution using the Lean proof assistant,public,2025-01-30T22:53:41Z,4,72,74,48,76,78
shivam1kamboj/QKD_interface,"To make quantum key distribution (QKD) more accessible, I developed a web-based simulation using Flask and HTML/Jinja2, with Cirq handling quantum circuit simulations in the backend.",public,2025-05-07T17:43:09Z,4,72,74,48,76,78
micheleberetta98/qkd-presentation,,public,2021-06-07T12:03:33Z,1,18,26,87,34,42
yash-srivastava19/QKD_Example,An Qiskit Implementation of Quantum Key Distribution : ),public,2024-09-22T09:03:42Z,2,36,42,74,48,54
AkashRK1216/QKD_FPGAkash,implementing quantum key distribution on fpga,public,2025-05-07T16:46:49Z,1,18,26,87,34,42
kddinb/qkd-mmis,药事管理系统,public,2022-03-01T11:29:58Z,1,18,26,87,34,42
smartmzl/QKD-Matlab,,public,2022-07-20T08:42:51Z,1,18,26,87,34,42
takkiiiiiiiii/QKD-Research,"Implementation and simulation of 3 QKD protocols, BB84, BBM92 and E91",public,2025-06-01T14:38:55Z,2,36,42,74,48,54
usamaahsan93/QKD-Distance,,public,2021-06-28T09:56:34Z,2,36,42,74,48,54
cnRobinHood/QKD-Routing,,public,2024-03-17T06:53:47Z,1,18,26,87,34,42
lakshmidhatrigangavarapu/qkd-example,QBIT-EAVESDROPPING | BB84 Protocol | B92 Protocol,public,2024-04-07T01:05:44Z,1,18,26,87,34,42
gufett0/hybrid-QKD,qiskit implementation of a hybrid authentication quantum key distribution protocol.,public,2024-09-22T09:39:02Z,4,72,74,48,76,78
plutoniumm/QIT-QKD,QKD Protocol BB84 and Attack Vector PNS visualised,public,2024-11-12T12:26:04Z,1,18,26,87,34,42
Paraxiom/qkd_client,,public,2025-04-23T12:06:22Z,1,18,26,87,34,42
TremerV/qkdsim_tusur,,public,2023-12-19T08:53:35Z,2,36,42,74,48,54
Mingyou0426/QKD-Simulator,This is about QKD Simulator written in java.,public,2024-09-22T09:04:38Z,5,90,90,35,90,90
ruxir-ig/QKD_sim,A Simulator which simulates the BB84 protocol in Quantum Key Distribution.,public,2025-03-24T16:37:30Z,1,18,26,87,34,42
sathvikswaminathan/QKD-sim,Simulation of the BB84 and B92 protocol,public,2024-09-22T09:04:04Z,2,36,42,74,48,54
Jungling-White/MDI-QKD,,public,2023-11-30T09:40:45Z,3,54,58,61,62,66
Danixps/ChatQKD,,public,2025-05-24T16:26:39Z,1,18,26,87,34,42
david921518/qkd-app,乾坤袋软件（qkd-app）是一款用户友好的虚拟机系统管理软件，底层使用 QEMU 实现硬件仿真，上层目标操作系统与仿真的硬件完美适配。,public,2025-06-07T05:18:51Z,3,54,58,61,62,66
anchit1501/qkd-process,,public,2024-09-22T09:42:11Z,1,18,26,87,34,42
vivi235711/qkd_python,,public,2024-12-19T08:04:45Z,2,36,42,74,48,54
faojul/Quantum-Cryptography-SARG04,Demonstration of SARG04 protocol,public,2024-03-21T11:19:58Z,2,36,42,74,48,54
swetayadav0521/qkd_project,This project simulates a Quantum Key Distribution (QKD) Application Interface using gRPC and Protocol Buffers (protobuf). The application acts as a client that communicates with a Key Management System (KMS) server using gRPC calls.,public,2025-05-07T17:55:30Z,2,36,42,74,48,54
artuenric/Simulacoes-QKD,Este repositório armazena códigos desenvolvidos em Python para simular redes que utilizam de Distribuição Quântica de Chaves (QKD) para atender às demandas de chaves para aplicações com criptografia clássica.,public,2024-09-22T09:36:27Z,1,18,26,87,34,42
JarryChou/qkd-net,Forked version of Open QKD Network,public,2020-09-11T01:37:02Z,3,54,58,61,62,66
cc1539/qkd-binning-demo,,public,2021-05-25T14:48:35Z,1,18,26,87,34,42
bishoymoussa/Quantum-Encryption,Quantum Key Encryption BB84 QKD Communication,public,2022-10-26T03:34:06Z,1,18,26,87,34,42
EnriqueCerv/NLG_DI_QKD,Script used to generate results and figures from,public,2025-03-11T07:53:04Z,1,18,26,87,34,42
johanvos/qkd-java,Quantum Key Distribution with Java code,public,2024-09-22T09:40:39Z,2,36,42,74,48,54
Fatma-Hamouda/QKD-project,,public,2024-09-22T09:41:51Z,2,36,42,74,48,54
erikakerberg/qkd-simulations,A simple Python program for simulating QKD systems created as part of a KTH thesis project.,public,2025-05-07T17:38:08Z,1,18,26,87,34,42
bMik09/QKD_HBC_CNN,"Augmenting CNN, QKD with Hybrid Blockchain in order to create secure e-voting system.",public,2023-08-11T12:40:00Z,2,36,42,74,48,54
juangedaan/qkd-telemetry-dashboard,"The QKD telemetry dashboard provides real-time monitoring and analysis of the quantum key distribution network, displaying key metrics such as key generation rates, error rates, and quantum bit error rates (QBER).",public,2025-05-07T18:18:46Z,1,18,26,87,34,42
addriancg/bp-for-qkd,,public,2025-06-17T17:13:56Z,2,36,42,74,48,54
SUPREETHBHASKAR/Attacking_QKD_Protocols,,public,2023-04-25T09:35:18Z,1,18,26,87,34,42
denisteut/QKD_stand_arduino,,public,2024-06-03T03:56:50Z,2,36,42,74,48,54
wenxuanqiu/HighSpeedMDIQKD,Custom scripts for high-speed MDI-QKD,public,2019-07-11T03:45:09Z,1,18,26,87,34,42
qkdr/qkdr.github.io,,public,2025-06-17T21:48:02Z,4,72,74,48,76,78
marcocofano/qkd_reconciliation_lectures,"A series of lectures on Postprocessing and Reconciliation in QKD. Shannon theory of communication, modern error correction codes privacy amplification.",public,2025-05-04T19:15:24Z,1,18,26,87,34,42
3QNRpDwD/Quantum-Cryptography,양자 암호키 분배(QKD)에 대한 시뮬레이션,public,2025-06-14T02:41:30Z,1,18,26,87,34,42
justintam5/QKD_Honors_Project,A Physics honors project for the University of Ottawa on an experimental and theoretical implementation of free-space QKD.,public,2023-03-31T20:04:11Z,1,18,26,87,34,42
terrordayvg/Authentication-of-QKD,In this repository we provide the codes with which we have obtained the results in the following article arXiv:2407.03119,public,2024-12-04T13:18:26Z,4,72,74,48,76,78
NickoDema/QKD_for_robots,Securing the control channel of a moving robot with quantum key distribution,public,2024-05-07T02:29:24Z,3,54,58,61,62,66
dyle71/etsi-qkd-004,An implementation of the ETSI QKD 004 standard.,public,2022-03-17T09:29:03Z,1,18,26,87,34,42
Jan-Scarabelli/CV-QKD--ETQT25,Repository for the Continous Variable Quantum Key Distribution project in Experimental Techniques in Quantum technology,public,2025-06-12T13:42:25Z,2,36,42,74,48,54
qkdreyer/qkdreyer.github.io,GitHub Page,public,2021-03-15T23:53:12Z,3,54,58,61,62,66
Sujiuzii/QKD-IPSec-app,,public,2025-03-17T07:29:03Z,2,36,42,74,48,54
jakessmith23/cv-qkd-numerical-sim,"Based on Laudenbach's ""Continuous-Variable Quantum Key Distribution with Gaussian Modulation – The Theory of Practical Implementations""",public,2025-05-07T17:37:06Z,2,36,42,74,48,54
ery010/ecs289m_qkd,,public,2022-03-02T18:31:11Z,1,18,26,87,34,42
juliakoban/BB84-Protocol-QKD,Python implementation of BB84 Quantum Key Distribution protocol,public,2024-09-09T07:33:46Z,1,18,26,87,34,42
fjiolla/bbm92-qkd-simulator,Simulation of the BBM92 Quantum Key Distribution protocol using Qiskit for secure satellite-to-ship communication.,public,2025-06-12T12:59:34Z,3,54,58,61,62,66
SolunarNexus/QKD-noise-simulation,"Data analysis and simulation scripts used in the study of ""Improved noise resistance analysis for path-entangled subspace quantum key distribution""",public,2024-06-07T12:54:12Z,4,72,74,48,76,78
joaofbravo/Hacking_QKD_with_ML,"Master's thesis - Hacking the privacy amplification of quantum key distribution with machine learning, and countermeasures",public,2024-12-02T12:23:57Z,2,36,42,74,48,54
QuantumUPB/QKD-App-FileTransfer,,public,2025-02-11T10:45:07Z,1,18,26,87,34,42
NamNguyenResearch/Satellite_QKD_PhaseFluctuations,"Matlab codes for the paper: Nam Nguyen, Thang V. Nguyen, Ngoc T. Dang, and Vuong Mai, “Performance of Satellite Quantum Key Distribution under Atmospheric Turbulence-Induced Phase Fluctuations,” International Communications Satellite Systems Conference, Bradford, UK, Oct. 2023.",public,2025-05-07T16:43:58Z,1,18,26,87,34,42
Rahulmishra14/Cryptographic-Application-Using-QKD,,public,2024-12-13T07:26:05Z,3,54,58,61,62,66
XQP-Munich/Py_LDPC4QKD,Python wrapper for LDPC4QKD,public,2024-06-25T14:46:42Z,3,54,58,61,62,66
nima3333/QKD_B92-Protocol,Python simulation of the B92 quantum key distribution protocol with explanations,public,2022-12-21T08:49:19Z,3,54,58,61,62,66
theguymeyer/qkd-hackathon-team-uncertainty,QKD Challenge for the Quantum Internet Hackathon - Constant Uncertainty,public,2023-09-27T09:36:42Z,3,54,58,61,62,66
anipriyo/QKD_with_Privacy_Amplification,BB84_QKD with induced noise (comes with CSS error correction) and Privacy Amplification,public,2025-05-16T07:51:07Z,2,36,42,74,48,54
SkytreeRom/AdaptiveWinnow,Adaptive Winnow algorithm in Quantum Key Distribution(QKD),public,2020-09-11T01:54:49Z,1,18,26,87,34,42
cc1539/qkd-binning-demo-2,,public,2022-09-09T20:58:45Z,1,18,26,87,34,42
